[2024-04-07 09:36:25,898][knowledgeD.py][line:207][INFO] Epoch:[1/30]	 loss=0.30749	 kd_loss: 0.05771	 hard_loss: 0.24978	 acc=0.282	 lr=0.00020
[2024-04-07 09:38:24,132][knowledgeD.py][line:207][INFO] Epoch:[2/30]	 loss=0.27394	 kd_loss: 0.04858	 hard_loss: 0.22536	 acc=0.313	 lr=0.00020
[2024-04-07 09:40:23,675][knowledgeD.py][line:207][INFO] Epoch:[3/30]	 loss=0.25799	 kd_loss: 0.04441	 hard_loss: 0.21358	 acc=0.320	 lr=0.00020
[2024-04-07 09:42:19,601][knowledgeD.py][line:207][INFO] Epoch:[4/30]	 loss=0.24575	 kd_loss: 0.04147	 hard_loss: 0.20427	 acc=0.377	 lr=0.00020
[2024-04-07 09:44:16,951][knowledgeD.py][line:207][INFO] Epoch:[5/30]	 loss=0.23491	 kd_loss: 0.03950	 hard_loss: 0.19541	 acc=0.388	 lr=0.00020
[2024-04-07 09:46:14,000][knowledgeD.py][line:207][INFO] Epoch:[6/30]	 loss=0.22401	 kd_loss: 0.03711	 hard_loss: 0.18691	 acc=0.396	 lr=0.00020
[2024-04-07 09:48:07,489][knowledgeD.py][line:207][INFO] Epoch:[7/30]	 loss=0.21472	 kd_loss: 0.03516	 hard_loss: 0.17956	 acc=0.470	 lr=0.00020
[2024-04-07 09:50:00,701][knowledgeD.py][line:207][INFO] Epoch:[8/30]	 loss=0.20723	 kd_loss: 0.03338	 hard_loss: 0.17385	 acc=0.473	 lr=0.00020
[2024-04-07 09:51:56,194][knowledgeD.py][line:207][INFO] Epoch:[9/30]	 loss=0.19826	 kd_loss: 0.03173	 hard_loss: 0.16653	 acc=0.511	 lr=0.00020
[2024-04-07 09:53:54,202][knowledgeD.py][line:207][INFO] Epoch:[10/30]	 loss=0.19219	 kd_loss: 0.03018	 hard_loss: 0.16201	 acc=0.528	 lr=0.00020
[2024-04-07 09:55:52,536][knowledgeD.py][line:207][INFO] Epoch:[11/30]	 loss=0.18727	 kd_loss: 0.02871	 hard_loss: 0.15856	 acc=0.530	 lr=0.00020
[2024-04-07 09:57:47,920][knowledgeD.py][line:207][INFO] Epoch:[12/30]	 loss=0.17930	 kd_loss: 0.02755	 hard_loss: 0.15175	 acc=0.579	 lr=0.00020
[2024-04-07 09:59:42,545][knowledgeD.py][line:207][INFO] Epoch:[13/30]	 loss=0.17511	 kd_loss: 0.02679	 hard_loss: 0.14832	 acc=0.590	 lr=0.00020
[2024-04-07 10:01:36,415][knowledgeD.py][line:207][INFO] Epoch:[14/30]	 loss=0.16851	 kd_loss: 0.02546	 hard_loss: 0.14305	 acc=0.600	 lr=0.00020
[2024-04-07 10:03:30,056][knowledgeD.py][line:207][INFO] Epoch:[15/30]	 loss=0.16515	 kd_loss: 0.02409	 hard_loss: 0.14106	 acc=0.624	 lr=0.00020
[2024-04-07 10:05:23,731][knowledgeD.py][line:207][INFO] Epoch:[16/30]	 loss=0.15979	 kd_loss: 0.02367	 hard_loss: 0.13612	 acc=0.644	 lr=0.00020
[2024-04-07 10:07:17,812][knowledgeD.py][line:207][INFO] Epoch:[17/30]	 loss=0.15689	 kd_loss: 0.02311	 hard_loss: 0.13378	 acc=0.654	 lr=0.00020
[2024-04-07 10:09:11,171][knowledgeD.py][line:207][INFO] Epoch:[18/30]	 loss=0.15386	 kd_loss: 0.02266	 hard_loss: 0.13120	 acc=0.605	 lr=0.00020
[2024-04-07 10:11:08,375][knowledgeD.py][line:207][INFO] Epoch:[19/30]	 loss=0.14944	 kd_loss: 0.02184	 hard_loss: 0.12761	 acc=0.648	 lr=0.00020
[2024-04-07 10:13:07,544][knowledgeD.py][line:207][INFO] Epoch:[20/30]	 loss=0.14390	 kd_loss: 0.02102	 hard_loss: 0.12287	 acc=0.680	 lr=0.00020
[2024-04-07 10:15:05,882][knowledgeD.py][line:207][INFO] Epoch:[21/30]	 loss=0.14447	 kd_loss: 0.02105	 hard_loss: 0.12342	 acc=0.679	 lr=0.00020
[2024-04-07 10:17:04,715][knowledgeD.py][line:207][INFO] Epoch:[22/30]	 loss=0.13808	 kd_loss: 0.02018	 hard_loss: 0.11790	 acc=0.645	 lr=0.00020
[2024-04-07 10:19:03,442][knowledgeD.py][line:207][INFO] Epoch:[23/30]	 loss=0.13601	 kd_loss: 0.01961	 hard_loss: 0.11639	 acc=0.704	 lr=0.00020
[2024-04-07 10:21:06,007][knowledgeD.py][line:207][INFO] Epoch:[24/30]	 loss=0.13429	 kd_loss: 0.01973	 hard_loss: 0.11456	 acc=0.680	 lr=0.00020
[2024-04-07 10:23:01,248][knowledgeD.py][line:207][INFO] Epoch:[25/30]	 loss=0.13125	 kd_loss: 0.01932	 hard_loss: 0.11193	 acc=0.711	 lr=0.00020
[2024-04-07 10:24:55,921][knowledgeD.py][line:207][INFO] Epoch:[26/30]	 loss=0.12975	 kd_loss: 0.01878	 hard_loss: 0.11097	 acc=0.690	 lr=0.00020
[2024-04-07 10:26:50,812][knowledgeD.py][line:207][INFO] Epoch:[27/30]	 loss=0.12795	 kd_loss: 0.01844	 hard_loss: 0.10951	 acc=0.699	 lr=0.00020
[2024-04-07 10:28:45,397][knowledgeD.py][line:207][INFO] Epoch:[28/30]	 loss=0.12383	 kd_loss: 0.01793	 hard_loss: 0.10590	 acc=0.718	 lr=0.00020
[2024-04-07 10:30:40,391][knowledgeD.py][line:207][INFO] Epoch:[29/30]	 loss=0.12365	 kd_loss: 0.01768	 hard_loss: 0.10597	 acc=0.737	 lr=0.00020
[2024-04-07 10:32:35,451][knowledgeD.py][line:207][INFO] Epoch:[30/30]	 loss=0.12133	 kd_loss: 0.01735	 hard_loss: 0.10398	 acc=0.722	 lr=0.00020
[2024-04-07 10:34:37,860][knowledgeD.py][line:207][INFO] Epoch:[31/30]	 loss=0.11895	 kd_loss: 0.01693	 hard_loss: 0.10202	 acc=0.728	 lr=0.00020
[2024-04-07 10:36:36,776][knowledgeD.py][line:207][INFO] Epoch:[32/30]	 loss=0.11667	 kd_loss: 0.01684	 hard_loss: 0.09983	 acc=0.728	 lr=0.00020
[2024-04-07 10:38:38,806][knowledgeD.py][line:207][INFO] Epoch:[33/30]	 loss=0.11546	 kd_loss: 0.01649	 hard_loss: 0.09897	 acc=0.741	 lr=0.00020
[2024-04-07 10:40:42,929][knowledgeD.py][line:207][INFO] Epoch:[34/30]	 loss=0.11499	 kd_loss: 0.01612	 hard_loss: 0.09887	 acc=0.746	 lr=0.00020
[2024-04-07 10:42:44,902][knowledgeD.py][line:207][INFO] Epoch:[35/30]	 loss=0.11318	 kd_loss: 0.01594	 hard_loss: 0.09724	 acc=0.754	 lr=0.00020
[2024-04-07 10:44:42,684][knowledgeD.py][line:207][INFO] Epoch:[36/30]	 loss=0.10965	 kd_loss: 0.01580	 hard_loss: 0.09385	 acc=0.749	 lr=0.00020
[2024-04-07 10:46:39,464][knowledgeD.py][line:207][INFO] Epoch:[37/30]	 loss=0.10973	 kd_loss: 0.01565	 hard_loss: 0.09408	 acc=0.774	 lr=0.00020
[2024-04-07 10:48:34,659][knowledgeD.py][line:207][INFO] Epoch:[38/30]	 loss=0.10769	 kd_loss: 0.01556	 hard_loss: 0.09213	 acc=0.767	 lr=0.00020
[2024-04-07 10:50:35,973][knowledgeD.py][line:207][INFO] Epoch:[39/30]	 loss=0.10656	 kd_loss: 0.01533	 hard_loss: 0.09123	 acc=0.771	 lr=0.00020
