[2024-04-05 02:46:45,379][student_train.py][line:105][INFO] Epoch:[48/120]	 loss=0.08748	 acc=0.783	 lr=0.00020
[2024-04-05 02:48:30,174][student_train.py][line:105][INFO] Epoch:[49/120]	 loss=0.08795	 acc=0.782	 lr=0.00020
[2024-04-05 02:50:15,917][student_train.py][line:105][INFO] Epoch:[50/120]	 loss=0.08672	 acc=0.798	 lr=0.00020
[2024-04-05 02:52:00,891][student_train.py][line:105][INFO] Epoch:[51/120]	 loss=0.08446	 acc=0.782	 lr=0.00020
[2024-04-05 02:53:45,481][student_train.py][line:105][INFO] Epoch:[52/120]	 loss=0.08406	 acc=0.793	 lr=0.00020
[2024-04-05 02:55:29,872][student_train.py][line:105][INFO] Epoch:[53/120]	 loss=0.08279	 acc=0.799	 lr=0.00020
[2024-04-05 02:57:14,879][student_train.py][line:105][INFO] Epoch:[54/120]	 loss=0.08325	 acc=0.813	 lr=0.00020
[2024-04-05 02:59:00,443][student_train.py][line:105][INFO] Epoch:[55/120]	 loss=0.08306	 acc=0.817	 lr=0.00020
[2024-04-05 03:00:45,365][student_train.py][line:105][INFO] Epoch:[56/120]	 loss=0.08120	 acc=0.801	 lr=0.00020
[2024-04-05 03:02:31,110][student_train.py][line:105][INFO] Epoch:[57/120]	 loss=0.07963	 acc=0.800	 lr=0.00020
[2024-04-05 03:04:16,739][student_train.py][line:105][INFO] Epoch:[58/120]	 loss=0.07956	 acc=0.801	 lr=0.00020
[2024-04-05 03:06:02,265][student_train.py][line:105][INFO] Epoch:[59/120]	 loss=0.07934	 acc=0.810	 lr=0.00020
[2024-04-05 03:07:47,639][student_train.py][line:105][INFO] Epoch:[60/120]	 loss=0.07958	 acc=0.812	 lr=0.00020
[2024-04-05 03:09:33,237][student_train.py][line:105][INFO] Epoch:[61/120]	 loss=0.07870	 acc=0.791	 lr=0.00020
[2024-04-05 03:11:18,657][student_train.py][line:105][INFO] Epoch:[62/120]	 loss=0.07641	 acc=0.820	 lr=0.00020
[2024-04-05 03:13:03,608][student_train.py][line:105][INFO] Epoch:[63/120]	 loss=0.07718	 acc=0.772	 lr=0.00020
[2024-04-05 03:14:48,781][student_train.py][line:105][INFO] Epoch:[64/120]	 loss=0.07699	 acc=0.802	 lr=0.00020
[2024-04-05 03:16:34,371][student_train.py][line:105][INFO] Epoch:[65/120]	 loss=0.07536	 acc=0.795	 lr=0.00020
[2024-04-05 03:18:19,387][student_train.py][line:105][INFO] Epoch:[66/120]	 loss=0.07453	 acc=0.795	 lr=0.00020
[2024-04-05 03:20:04,987][student_train.py][line:105][INFO] Epoch:[67/120]	 loss=0.07400	 acc=0.822	 lr=0.00020
[2024-04-05 03:21:49,783][student_train.py][line:105][INFO] Epoch:[68/120]	 loss=0.07456	 acc=0.824	 lr=0.00020
[2024-04-05 03:23:34,417][student_train.py][line:105][INFO] Epoch:[69/120]	 loss=0.07280	 acc=0.827	 lr=0.00020
[2024-04-05 03:25:18,931][student_train.py][line:105][INFO] Epoch:[70/120]	 loss=0.07261	 acc=0.806	 lr=0.00020
[2024-04-05 03:27:03,569][student_train.py][line:105][INFO] Epoch:[71/120]	 loss=0.07270	 acc=0.800	 lr=0.00020
[2024-04-05 03:28:48,753][student_train.py][line:105][INFO] Epoch:[72/120]	 loss=0.07341	 acc=0.762	 lr=0.00020
[2024-04-05 03:30:33,544][student_train.py][line:105][INFO] Epoch:[73/120]	 loss=0.07006	 acc=0.820	 lr=0.00020
[2024-04-05 03:32:17,926][student_train.py][line:105][INFO] Epoch:[74/120]	 loss=0.07278	 acc=0.787	 lr=0.00020
[2024-04-05 03:34:02,920][student_train.py][line:105][INFO] Epoch:[75/120]	 loss=0.07117	 acc=0.818	 lr=0.00020
[2024-04-05 03:35:48,335][student_train.py][line:105][INFO] Epoch:[76/120]	 loss=0.06820	 acc=0.804	 lr=0.00020
[2024-04-05 03:37:33,101][student_train.py][line:105][INFO] Epoch:[77/120]	 loss=0.06810	 acc=0.790	 lr=0.00020
[2024-04-05 03:39:17,727][student_train.py][line:105][INFO] Epoch:[78/120]	 loss=0.06905	 acc=0.816	 lr=0.00020
[2024-04-05 03:41:02,450][student_train.py][line:105][INFO] Epoch:[79/120]	 loss=0.06914	 acc=0.822	 lr=0.00020
[2024-04-05 03:42:47,640][student_train.py][line:105][INFO] Epoch:[80/120]	 loss=0.06827	 acc=0.826	 lr=0.00020
[2024-04-05 03:44:32,660][student_train.py][line:105][INFO] Epoch:[81/120]	 loss=0.06841	 acc=0.821	 lr=0.00020
[2024-04-05 03:46:17,248][student_train.py][line:105][INFO] Epoch:[82/120]	 loss=0.06674	 acc=0.823	 lr=0.00020
[2024-04-05 03:48:01,918][student_train.py][line:105][INFO] Epoch:[83/120]	 loss=0.06624	 acc=0.822	 lr=0.00020
[2024-04-05 03:49:47,533][student_train.py][line:105][INFO] Epoch:[84/120]	 loss=0.06552	 acc=0.821	 lr=0.00020
[2024-04-05 03:51:32,487][student_train.py][line:105][INFO] Epoch:[85/120]	 loss=0.06516	 acc=0.823	 lr=0.00020
[2024-04-05 03:53:16,704][student_train.py][line:105][INFO] Epoch:[86/120]	 loss=0.06562	 acc=0.828	 lr=0.00020
[2024-04-05 03:55:00,863][student_train.py][line:105][INFO] Epoch:[87/120]	 loss=0.06502	 acc=0.805	 lr=0.00020
[2024-04-05 03:56:46,063][student_train.py][line:105][INFO] Epoch:[88/120]	 loss=0.06477	 acc=0.834	 lr=0.00020
[2024-04-05 03:58:30,879][student_train.py][line:105][INFO] Epoch:[89/120]	 loss=0.06616	 acc=0.817	 lr=0.00020
[2024-04-05 04:00:15,652][student_train.py][line:105][INFO] Epoch:[90/120]	 loss=0.06597	 acc=0.827	 lr=0.00020
[2024-04-05 04:02:01,043][student_train.py][line:105][INFO] Epoch:[91/120]	 loss=0.06357	 acc=0.834	 lr=0.00020
[2024-04-05 04:03:47,063][student_train.py][line:105][INFO] Epoch:[92/120]	 loss=0.06179	 acc=0.835	 lr=0.00020
[2024-04-05 04:05:31,652][student_train.py][line:105][INFO] Epoch:[93/120]	 loss=0.06283	 acc=0.816	 lr=0.00020
