[2024-04-02 04:02:26,698][knowledgeD.py][line:122][INFO] Epoch:[46/300]	 loss=0.17999	 acc=0.488	 lr=0.00003
[2024-04-02 04:05:28,604][knowledgeD.py][line:122][INFO] Epoch:[47/300]	 loss=0.17885	 acc=0.488	 lr=0.00003
[2024-04-02 04:08:30,744][knowledgeD.py][line:122][INFO] Epoch:[48/300]	 loss=0.17656	 acc=0.493	 lr=0.00003
[2024-04-02 04:11:33,190][knowledgeD.py][line:122][INFO] Epoch:[49/300]	 loss=0.17629	 acc=0.500	 lr=0.00002
[2024-04-02 04:14:35,485][knowledgeD.py][line:122][INFO] Epoch:[50/300]	 loss=0.17579	 acc=0.492	 lr=0.00002
[2024-04-02 04:17:37,149][knowledgeD.py][line:122][INFO] Epoch:[51/300]	 loss=0.17428	 acc=0.507	 lr=0.00002
[2024-04-02 04:20:38,617][knowledgeD.py][line:122][INFO] Epoch:[52/300]	 loss=0.17300	 acc=0.503	 lr=0.00002
[2024-04-02 04:23:40,240][knowledgeD.py][line:122][INFO] Epoch:[53/300]	 loss=0.17290	 acc=0.502	 lr=0.00002
[2024-04-02 04:26:41,931][knowledgeD.py][line:122][INFO] Epoch:[54/300]	 loss=0.17202	 acc=0.508	 lr=0.00001
[2024-04-02 04:29:44,012][knowledgeD.py][line:122][INFO] Epoch:[55/300]	 loss=0.17118	 acc=0.507	 lr=0.00001
[2024-04-02 04:32:46,427][knowledgeD.py][line:122][INFO] Epoch:[56/300]	 loss=0.17072	 acc=0.508	 lr=0.00001
[2024-04-02 04:35:48,896][knowledgeD.py][line:122][INFO] Epoch:[57/300]	 loss=0.17018	 acc=0.514	 lr=0.00001
[2024-04-02 04:38:51,446][knowledgeD.py][line:122][INFO] Epoch:[58/300]	 loss=0.16819	 acc=0.515	 lr=0.00001
[2024-04-02 04:41:53,911][knowledgeD.py][line:122][INFO] Epoch:[59/300]	 loss=0.16925	 acc=0.513	 lr=0.00001
[2024-04-02 04:44:55,817][knowledgeD.py][line:122][INFO] Epoch:[60/300]	 loss=0.16887	 acc=0.512	 lr=0.00010
[2024-04-02 04:47:57,458][knowledgeD.py][line:122][INFO] Epoch:[61/300]	 loss=0.18337	 acc=0.477	 lr=0.00010
[2024-04-02 04:50:59,512][knowledgeD.py][line:122][INFO] Epoch:[62/300]	 loss=0.18265	 acc=0.484	 lr=0.00010
[2024-04-02 04:54:01,955][knowledgeD.py][line:122][INFO] Epoch:[63/300]	 loss=0.18167	 acc=0.487	 lr=0.00010
[2024-04-02 04:57:04,038][knowledgeD.py][line:122][INFO] Epoch:[64/300]	 loss=0.17917	 acc=0.497	 lr=0.00010
[2024-04-02 05:00:06,181][knowledgeD.py][line:122][INFO] Epoch:[65/300]	 loss=0.17886	 acc=0.496	 lr=0.00010
[2024-04-02 05:03:08,616][knowledgeD.py][line:122][INFO] Epoch:[66/300]	 loss=0.17636	 acc=0.497	 lr=0.00010
[2024-04-02 05:06:10,722][knowledgeD.py][line:122][INFO] Epoch:[67/300]	 loss=0.17469	 acc=0.508	 lr=0.00010
[2024-04-02 05:09:13,150][knowledgeD.py][line:122][INFO] Epoch:[68/300]	 loss=0.17328	 acc=0.507	 lr=0.00010
[2024-04-02 05:12:15,401][knowledgeD.py][line:122][INFO] Epoch:[69/300]	 loss=0.17284	 acc=0.521	 lr=0.00010
[2024-04-02 05:15:17,441][knowledgeD.py][line:122][INFO] Epoch:[70/300]	 loss=0.17045	 acc=0.515	 lr=0.00010
[2024-04-02 05:18:19,270][knowledgeD.py][line:122][INFO] Epoch:[71/300]	 loss=0.16968	 acc=0.532	 lr=0.00010
[2024-04-02 05:21:20,996][knowledgeD.py][line:122][INFO] Epoch:[72/300]	 loss=0.16677	 acc=0.520	 lr=0.00010
[2024-04-02 05:24:22,617][knowledgeD.py][line:122][INFO] Epoch:[73/300]	 loss=0.16520	 acc=0.522	 lr=0.00009
[2024-04-02 05:27:24,342][knowledgeD.py][line:122][INFO] Epoch:[74/300]	 loss=0.16428	 acc=0.525	 lr=0.00009
[2024-04-02 05:30:25,832][knowledgeD.py][line:122][INFO] Epoch:[75/300]	 loss=0.16273	 acc=0.538	 lr=0.00009
[2024-04-02 05:33:27,701][knowledgeD.py][line:122][INFO] Epoch:[76/300]	 loss=0.16216	 acc=0.540	 lr=0.00009
[2024-04-02 05:36:29,362][knowledgeD.py][line:122][INFO] Epoch:[77/300]	 loss=0.16005	 acc=0.530	 lr=0.00009
[2024-04-02 05:39:31,665][knowledgeD.py][line:122][INFO] Epoch:[78/300]	 loss=0.15998	 acc=0.541	 lr=0.00009
[2024-04-02 05:42:34,296][knowledgeD.py][line:122][INFO] Epoch:[79/300]	 loss=0.15818	 acc=0.550	 lr=0.00009
[2024-04-02 05:45:36,203][knowledgeD.py][line:122][INFO] Epoch:[80/300]	 loss=0.15549	 acc=0.544	 lr=0.00009
[2024-04-02 05:48:38,276][knowledgeD.py][line:122][INFO] Epoch:[81/300]	 loss=0.15646	 acc=0.556	 lr=0.00009
[2024-04-02 05:51:40,544][knowledgeD.py][line:122][INFO] Epoch:[82/300]	 loss=0.15376	 acc=0.558	 lr=0.00008
[2024-04-02 05:54:42,786][knowledgeD.py][line:122][INFO] Epoch:[83/300]	 loss=0.15240	 acc=0.555	 lr=0.00008
[2024-04-02 05:57:45,523][knowledgeD.py][line:122][INFO] Epoch:[84/300]	 loss=0.15233	 acc=0.560	 lr=0.00008
[2024-04-02 06:00:48,195][knowledgeD.py][line:122][INFO] Epoch:[85/300]	 loss=0.14989	 acc=0.563	 lr=0.00008
[2024-04-02 06:03:50,503][knowledgeD.py][line:122][INFO] Epoch:[86/300]	 loss=0.14880	 acc=0.567	 lr=0.00008
[2024-04-02 06:06:52,407][knowledgeD.py][line:122][INFO] Epoch:[87/300]	 loss=0.14752	 acc=0.567	 lr=0.00008
[2024-04-02 06:09:54,066][knowledgeD.py][line:122][INFO] Epoch:[88/300]	 loss=0.14743	 acc=0.571	 lr=0.00008
[2024-04-02 06:12:55,891][knowledgeD.py][line:122][INFO] Epoch:[89/300]	 loss=0.14500	 acc=0.573	 lr=0.00007
[2024-04-02 06:15:57,599][knowledgeD.py][line:122][INFO] Epoch:[90/300]	 loss=0.14429	 acc=0.572	 lr=0.00007
[2024-04-02 06:19:00,120][knowledgeD.py][line:122][INFO] Epoch:[91/300]	 loss=0.14381	 acc=0.578	 lr=0.00007
[2024-04-02 06:22:02,587][knowledgeD.py][line:122][INFO] Epoch:[92/300]	 loss=0.14199	 acc=0.566	 lr=0.00007
[2024-04-02 06:25:04,851][knowledgeD.py][line:122][INFO] Epoch:[93/300]	 loss=0.14154	 acc=0.590	 lr=0.00007
[2024-04-02 06:28:06,518][knowledgeD.py][line:122][INFO] Epoch:[94/300]	 loss=0.13973	 acc=0.586	 lr=0.00007
[2024-04-02 06:31:07,982][knowledgeD.py][line:122][INFO] Epoch:[95/300]	 loss=0.13939	 acc=0.588	 lr=0.00006
[2024-04-02 06:34:09,262][knowledgeD.py][line:122][INFO] Epoch:[96/300]	 loss=0.13951	 acc=0.586	 lr=0.00006
[2024-04-02 06:37:10,930][knowledgeD.py][line:122][INFO] Epoch:[97/300]	 loss=0.13683	 acc=0.592	 lr=0.00006
[2024-04-02 06:40:12,950][knowledgeD.py][line:122][INFO] Epoch:[98/300]	 loss=0.13739	 acc=0.590	 lr=0.00006
[2024-04-02 06:43:15,246][knowledgeD.py][line:122][INFO] Epoch:[99/300]	 loss=0.13469	 acc=0.580	 lr=0.00006
[2024-04-02 06:46:17,132][knowledgeD.py][line:122][INFO] Epoch:[100/300]	 loss=0.13391	 acc=0.594	 lr=0.00005
[2024-04-02 06:49:18,840][knowledgeD.py][line:122][INFO] Epoch:[101/300]	 loss=0.13375	 acc=0.600	 lr=0.00005
[2024-04-02 06:52:21,060][knowledgeD.py][line:122][INFO] Epoch:[102/300]	 loss=0.13234	 acc=0.597	 lr=0.00005
[2024-04-02 06:55:23,314][knowledgeD.py][line:122][INFO] Epoch:[103/300]	 loss=0.13185	 acc=0.608	 lr=0.00005
[2024-04-02 06:58:25,789][knowledgeD.py][line:122][INFO] Epoch:[104/300]	 loss=0.13039	 acc=0.614	 lr=0.00005
[2024-04-02 07:01:28,454][knowledgeD.py][line:122][INFO] Epoch:[105/300]	 loss=0.12979	 acc=0.602	 lr=0.00005
[2024-04-02 07:04:30,549][knowledgeD.py][line:122][INFO] Epoch:[106/300]	 loss=0.12866	 acc=0.612	 lr=0.00004
[2024-04-02 07:07:32,418][knowledgeD.py][line:122][INFO] Epoch:[107/300]	 loss=0.12903	 acc=0.607	 lr=0.00004
[2024-04-02 07:10:34,493][knowledgeD.py][line:122][INFO] Epoch:[108/300]	 loss=0.12808	 acc=0.609	 lr=0.00004
[2024-04-02 07:13:37,162][knowledgeD.py][line:122][INFO] Epoch:[109/300]	 loss=0.12675	 acc=0.611	 lr=0.00004
[2024-04-02 07:16:38,644][knowledgeD.py][line:122][INFO] Epoch:[110/300]	 loss=0.12569	 acc=0.613	 lr=0.00004
[2024-04-02 07:19:40,106][knowledgeD.py][line:122][INFO] Epoch:[111/300]	 loss=0.12546	 acc=0.607	 lr=0.00004
[2024-04-02 07:22:41,369][knowledgeD.py][line:122][INFO] Epoch:[112/300]	 loss=0.12450	 acc=0.606	 lr=0.00003
[2024-04-02 07:25:43,046][knowledgeD.py][line:122][INFO] Epoch:[113/300]	 loss=0.12325	 acc=0.612	 lr=0.00003
[2024-04-02 07:28:44,694][knowledgeD.py][line:122][INFO] Epoch:[114/300]	 loss=0.12291	 acc=0.615	 lr=0.00003
[2024-04-02 07:31:46,385][knowledgeD.py][line:122][INFO] Epoch:[115/300]	 loss=0.12224	 acc=0.617	 lr=0.00003
[2024-04-02 07:34:48,028][knowledgeD.py][line:122][INFO] Epoch:[116/300]	 loss=0.12251	 acc=0.618	 lr=0.00003
[2024-04-02 07:37:50,276][knowledgeD.py][line:122][INFO] Epoch:[117/300]	 loss=0.12076	 acc=0.612	 lr=0.00003
[2024-04-02 07:40:52,755][knowledgeD.py][line:122][INFO] Epoch:[118/300]	 loss=0.12091	 acc=0.616	 lr=0.00002
[2024-04-02 07:43:54,849][knowledgeD.py][line:122][INFO] Epoch:[119/300]	 loss=0.12011	 acc=0.620	 lr=0.00002
[2024-04-02 07:46:57,525][knowledgeD.py][line:122][INFO] Epoch:[120/300]	 loss=0.11933	 acc=0.623	 lr=0.00002
[2024-04-02 07:49:59,805][knowledgeD.py][line:122][INFO] Epoch:[121/300]	 loss=0.11883	 acc=0.626	 lr=0.00002
[2024-04-02 07:53:02,062][knowledgeD.py][line:122][INFO] Epoch:[122/300]	 loss=0.11775	 acc=0.622	 lr=0.00002
[2024-04-02 07:56:04,106][knowledgeD.py][line:122][INFO] Epoch:[123/300]	 loss=0.11813	 acc=0.621	 lr=0.00002
[2024-04-02 07:59:06,598][knowledgeD.py][line:122][INFO] Epoch:[124/300]	 loss=0.11816	 acc=0.626	 lr=0.00002
[2024-04-02 08:02:08,853][knowledgeD.py][line:122][INFO] Epoch:[125/300]	 loss=0.11772	 acc=0.629	 lr=0.00002
[2024-04-02 08:05:10,762][knowledgeD.py][line:122][INFO] Epoch:[126/300]	 loss=0.11591	 acc=0.628	 lr=0.00002
[2024-04-02 08:08:12,485][knowledgeD.py][line:122][INFO] Epoch:[127/300]	 loss=0.11512	 acc=0.621	 lr=0.00001
[2024-04-02 08:11:14,138][knowledgeD.py][line:122][INFO] Epoch:[128/300]	 loss=0.11649	 acc=0.623	 lr=0.00001
[2024-04-02 08:14:16,401][knowledgeD.py][line:122][INFO] Epoch:[129/300]	 loss=0.11605	 acc=0.628	 lr=0.00001
[2024-04-02 08:17:19,283][knowledgeD.py][line:122][INFO] Epoch:[130/300]	 loss=0.11519	 acc=0.629	 lr=0.00001
[2024-04-02 08:20:21,386][knowledgeD.py][line:122][INFO] Epoch:[131/300]	 loss=0.11598	 acc=0.626	 lr=0.00001
[2024-04-02 08:23:23,846][knowledgeD.py][line:122][INFO] Epoch:[132/300]	 loss=0.11475	 acc=0.632	 lr=0.00001
[2024-04-02 08:26:25,504][knowledgeD.py][line:122][INFO] Epoch:[133/300]	 loss=0.11363	 acc=0.631	 lr=0.00001
[2024-04-02 08:29:26,999][knowledgeD.py][line:122][INFO] Epoch:[134/300]	 loss=0.11397	 acc=0.625	 lr=0.00001
[2024-04-02 08:32:28,500][knowledgeD.py][line:122][INFO] Epoch:[135/300]	 loss=0.11452	 acc=0.627	 lr=0.00001
[2024-04-02 08:35:29,967][knowledgeD.py][line:122][INFO] Epoch:[136/300]	 loss=0.11405	 acc=0.631	 lr=0.00001
[2024-04-02 08:38:32,047][knowledgeD.py][line:122][INFO] Epoch:[137/300]	 loss=0.11424	 acc=0.631	 lr=0.00001
[2024-04-02 08:41:34,323][knowledgeD.py][line:122][INFO] Epoch:[138/300]	 loss=0.11299	 acc=0.631	 lr=0.00001
[2024-04-02 08:44:36,011][knowledgeD.py][line:122][INFO] Epoch:[139/300]	 loss=0.11350	 acc=0.627	 lr=0.00001
[2024-04-02 08:47:37,492][knowledgeD.py][line:122][INFO] Epoch:[140/300]	 loss=0.11320	 acc=0.626	 lr=0.00010
[2024-04-02 08:50:38,790][knowledgeD.py][line:122][INFO] Epoch:[141/300]	 loss=0.12872	 acc=0.606	 lr=0.00010
[2024-04-02 08:53:40,276][knowledgeD.py][line:122][INFO] Epoch:[142/300]	 loss=0.13044	 acc=0.593	 lr=0.00010
[2024-04-02 08:56:41,706][knowledgeD.py][line:122][INFO] Epoch:[143/300]	 loss=0.13009	 acc=0.600	 lr=0.00010
[2024-04-02 08:59:43,364][knowledgeD.py][line:122][INFO] Epoch:[144/300]	 loss=0.12923	 acc=0.601	 lr=0.00010
[2024-04-02 09:02:45,069][knowledgeD.py][line:122][INFO] Epoch:[145/300]	 loss=0.12992	 acc=0.601	 lr=0.00010
[2024-04-02 09:05:47,083][knowledgeD.py][line:122][INFO] Epoch:[146/300]	 loss=0.12923	 acc=0.601	 lr=0.00010
[2024-04-02 09:08:49,412][knowledgeD.py][line:122][INFO] Epoch:[147/300]	 loss=0.12916	 acc=0.599	 lr=0.00010
[2024-04-02 09:11:51,716][knowledgeD.py][line:122][INFO] Epoch:[148/300]	 loss=0.12850	 acc=0.605	 lr=0.00010
[2024-04-02 09:14:53,960][knowledgeD.py][line:122][INFO] Epoch:[149/300]	 loss=0.12866	 acc=0.610	 lr=0.00010
[2024-04-02 09:17:56,273][knowledgeD.py][line:122][INFO] Epoch:[150/300]	 loss=0.12729	 acc=0.613	 lr=0.00010
[2024-04-02 09:20:58,718][knowledgeD.py][line:122][INFO] Epoch:[151/300]	 loss=0.12721	 acc=0.618	 lr=0.00010
[2024-04-02 09:24:00,603][knowledgeD.py][line:122][INFO] Epoch:[152/300]	 loss=0.12495	 acc=0.607	 lr=0.00010
[2024-04-02 09:27:02,131][knowledgeD.py][line:122][INFO] Epoch:[153/300]	 loss=0.12491	 acc=0.606	 lr=0.00010
[2024-04-02 09:30:03,791][knowledgeD.py][line:122][INFO] Epoch:[154/300]	 loss=0.12406	 acc=0.610	 lr=0.00010
[2024-04-02 09:33:05,026][knowledgeD.py][line:122][INFO] Epoch:[155/300]	 loss=0.12365	 acc=0.614	 lr=0.00010
[2024-04-02 09:36:06,925][knowledgeD.py][line:122][INFO] Epoch:[156/300]	 loss=0.12419	 acc=0.615	 lr=0.00010
[2024-04-02 09:39:08,446][knowledgeD.py][line:122][INFO] Epoch:[157/300]	 loss=0.12369	 acc=0.613	 lr=0.00010
[2024-04-02 09:42:10,090][knowledgeD.py][line:122][INFO] Epoch:[158/300]	 loss=0.12159	 acc=0.621	 lr=0.00010
[2024-04-02 09:45:12,160][knowledgeD.py][line:122][INFO] Epoch:[159/300]	 loss=0.12140	 acc=0.619	 lr=0.00010
[2024-04-02 09:48:14,532][knowledgeD.py][line:122][INFO] Epoch:[160/300]	 loss=0.12088	 acc=0.618	 lr=0.00010
[2024-04-02 09:51:16,732][knowledgeD.py][line:122][INFO] Epoch:[161/300]	 loss=0.11969	 acc=0.614	 lr=0.00010
[2024-04-02 09:54:19,006][knowledgeD.py][line:122][INFO] Epoch:[162/300]	 loss=0.11934	 acc=0.625	 lr=0.00010
[2024-04-02 09:57:20,488][knowledgeD.py][line:122][INFO] Epoch:[163/300]	 loss=0.11995	 acc=0.622	 lr=0.00010
[2024-04-02 10:00:22,162][knowledgeD.py][line:122][INFO] Epoch:[164/300]	 loss=0.11762	 acc=0.623	 lr=0.00010
[2024-04-02 10:03:23,847][knowledgeD.py][line:122][INFO] Epoch:[165/300]	 loss=0.11841	 acc=0.626	 lr=0.00009
[2024-04-02 10:06:26,295][knowledgeD.py][line:122][INFO] Epoch:[166/300]	 loss=0.11697	 acc=0.632	 lr=0.00009
[2024-04-02 10:09:28,374][knowledgeD.py][line:122][INFO] Epoch:[167/300]	 loss=0.11613	 acc=0.629	 lr=0.00009
[2024-04-02 10:12:30,196][knowledgeD.py][line:122][INFO] Epoch:[168/300]	 loss=0.11597	 acc=0.631	 lr=0.00009
[2024-04-02 10:15:35,050][knowledgeD.py][line:122][INFO] Epoch:[169/300]	 loss=0.11471	 acc=0.636	 lr=0.00009
[2024-04-02 10:18:37,711][knowledgeD.py][line:122][INFO] Epoch:[170/300]	 loss=0.11523	 acc=0.637	 lr=0.00009
[2024-04-02 10:21:42,412][knowledgeD.py][line:122][INFO] Epoch:[171/300]	 loss=0.11355	 acc=0.630	 lr=0.00009
[2024-04-02 10:24:47,125][knowledgeD.py][line:122][INFO] Epoch:[172/300]	 loss=0.11385	 acc=0.634	 lr=0.00009
[2024-04-02 10:27:58,002][knowledgeD.py][line:122][INFO] Epoch:[173/300]	 loss=0.11394	 acc=0.634	 lr=0.00009
[2024-04-02 10:31:01,907][knowledgeD.py][line:122][INFO] Epoch:[174/300]	 loss=0.11256	 acc=0.634	 lr=0.00009
[2024-04-02 10:34:04,790][knowledgeD.py][line:122][INFO] Epoch:[175/300]	 loss=0.11247	 acc=0.634	 lr=0.00009
[2024-04-02 10:37:07,238][knowledgeD.py][line:122][INFO] Epoch:[176/300]	 loss=0.11106	 acc=0.638	 lr=0.00009
[2024-04-02 10:40:09,922][knowledgeD.py][line:122][INFO] Epoch:[177/300]	 loss=0.11051	 acc=0.638	 lr=0.00009
[2024-04-02 10:43:12,414][knowledgeD.py][line:122][INFO] Epoch:[178/300]	 loss=0.11046	 acc=0.644	 lr=0.00009
[2024-04-02 10:46:16,341][knowledgeD.py][line:122][INFO] Epoch:[179/300]	 loss=0.10928	 acc=0.640	 lr=0.00009
[2024-04-02 10:49:22,368][knowledgeD.py][line:122][INFO] Epoch:[180/300]	 loss=0.10862	 acc=0.640	 lr=0.00009
[2024-04-02 10:52:27,060][knowledgeD.py][line:122][INFO] Epoch:[181/300]	 loss=0.11024	 acc=0.651	 lr=0.00009
[2024-04-02 10:55:30,325][knowledgeD.py][line:122][INFO] Epoch:[182/300]	 loss=0.10794	 acc=0.640	 lr=0.00009
[2024-04-02 10:58:33,495][knowledgeD.py][line:122][INFO] Epoch:[183/300]	 loss=0.10789	 acc=0.647	 lr=0.00008
